"id","side","list","vote"
"22","Right","PRV",0
"22","Right","NCE",0
"22","Right","UMP",40.1
"22","Right","DVD",0
"22","Right","FN",0
"22","Right","EXD",0
"22","Left","SOC",48.21
"22","Left","RDG",0
"22","Left","DVG",11.7
"22","Left","VEC",0
"22",NA,"REG",0
"22","Left","ECO",0
"22",NA,"AUT",0
"22","Right","CEN",0
"23","Left","EXG",0
"23","Left","FG",0
"23","Right","ALLI",0
"23","Right","PRV",0
"23","Right","NCE",0
"23","Right","UMP",42.45
"23","Right","DVD",0
"23","Right","FN",0
"23","Right","EXD",0
"23","Left","SOC",57.55
"23","Left","RDG",0
"23","Left","DVG",0
"23","Left","VEC",0
"23",NA,"REG",0
"23","Left","ECO",0
"23",NA,"AUT",0
"23","Right","CEN",0
"24","Left","EXG",0
"24","Left","FG",0
"24","Right","ALLI",0
"24","Right","PRV",0
"24","Right","NCE",0
"24","Right","UMP",40.62
"24","Right","DVD",0
"24","Right","FN",0
"24","Right","EXD",0
"24","Left","SOC",31.9
"24","Left","RDG",0
"24","Left","DVG",0
"24","Left","VEC",27.48
"24",NA,"REG",0
"24","Left","ECO",0
"24",NA,"AUT",0
"24","Right","CEN",0
"25","Left","EXG",0
"25","Left","FG",0
"25","Right","ALLI",0
"25","Right","PRV",0
"25","Right","NCE",0
"25","Right","UMP",47.29
"25","Right","DVD",0
"25","Right","FN",4.61
"25","Right","EXD",0
"25","Left","SOC",36.92
"25","Left","RDG",0
"25","Left","DVG",0
"25","Left","VEC",11.18
"25",NA,"REG",0
"25","Left","ECO",0
"25",NA,"AUT",0
"25","Right","CEN",0
"26","Left","EXG",0
"26","Left","FG",0
"26","Right","ALLI",0
"26","Right","PRV",12.18
"26","Right","NCE",0
"26","Right","UMP",38.03
"26","Right","DVD",0
"26","Right","FN",0
"26","Right","EXD",0
"26","Left","SOC",37.99
"26","Left","RDG",0
"26","Left","DVG",11.8
"26","Left","VEC",0
"26",NA,"REG",0
"26","Left","ECO",0
"26",NA,"AUT",0
"26","Right","CEN",0
"27","Left","EXG",0
"27","Left","FG",0
"27","Right","ALLI",0
"27","Right","PRV",0
"27","Right","NCE",20.37
"27","Right","UMP",32.25
"27","Right","DVD",0
"27","Right","FN",6.63
"27","Right","EXD",0
"27","Left","SOC",31.87
"27","Left","RDG",8.87
"27","Left","DVG",0
"27","Left","VEC",0
"27",NA,"REG",0
"27","Left","ECO",0
"27",NA,"AUT",0
"27","Right","CEN",0
"28","Left","EXG",0
"28","Left","FG",0
"28","Right","ALLI",0
"28","Right","PRV",0
"28","Right","NCE",0
"28","Right","UMP",52.2
"28","Right","DVD",0
"28","Right","FN",0
"28","Right","EXD",0
"28","Left","SOC",32.83
"28","Left","RDG",14.97
"28","Left","DVG",0
"28","Left","VEC",0
"28",NA,"REG",0
"28","Left","ECO",0
"28",NA,"AUT",0
"28","Right","CEN",0
"29","Left","EXG",0
"29","Left","FG",0
"29","Right","ALLI",0
"29","Right","PRV",0
"29","Right","NCE",0
"29","Right","UMP",39.65
"29","Right","DVD",0
"29","Right","FN",0
"29","Right","EXD",0
"29","Left","SOC",53.49
"29","Left","RDG",0
"29","Left","DVG",6.86
"29","Left","VEC",0
"29",NA,"REG",0
"29","Left","ECO",0
"29",NA,"AUT",0
"29","Right","CEN",0
"2A","Left","EXG",0
"2A","Left","FG",0
"2A","Right","ALLI",0
"2A","Right","PRV",0
"2A","Right","NCE",0
"2A","Right","UMP",51.85
"2A","Right","DVD",0
"2A","Right","FN",0
"2A","Right","EXD",0
"2A","Left","SOC",0
"2A","Left","RDG",0
"2A","Left","DVG",23.78
"2A","Left","VEC",0
"2A",NA,"REG",24.37
"2A","Left","ECO",0
"2A",NA,"AUT",0
"2A","Right","CEN",0
"2B","Left","EXG",0
"2B","Left","FG",0
"2B","Right","ALLI",0
"2B","Right","PRV",0
"2B","Right","NCE",0
"2B","Right","UMP",36.84
"2B","Right","DVD",0
"2B","Right","FN",0
"2B","Right","EXD",0
"2B","Left","SOC",0
"2B","Left","RDG",47.86
"2B","Left","DVG",0
"2B","Left","VEC",0
"2B",NA,"REG",15.3
"2B","Left","ECO",0
"2B",NA,"AUT",0
"2B","Right","CEN",0
"03","Left","EXG",0
"03","Left","FG",0
"03","Right","ALLI",0
"03","Right","PRV",0
"03","Right","NCE",0
"03","Right","UMP",41.91
"03","Right","DVD",0
"03","Right","FN",0
"03","Right","EXD",0
"03","Left","SOC",40.72
"03","Left","RDG",17.37
"03","Left","DVG",0
"03","Left","VEC",0
"03",NA,"REG",0
"03","Left","ECO",0
"03",NA,"AUT",0
"03","Right","CEN",0
"30","Left","EXG",0
"30","Left","FG",0
"30","Right","ALLI",0
"30","Right","PRV",0
"30","Right","NCE",5.46
"30","Right","UMP",22.24
"30","Right","DVD",0
"30","Right","FN",25.23
"30","Right","EXD",0
"30","Left","SOC",40.79
"30","Left","RDG",0
"30","Left","DVG",0
"30","Left","VEC",6.28
"30",NA,"REG",0
"30","Left","ECO",0
"30",NA,"AUT",0
"30","Right","CEN",0
"31","Left","EXG",0
"31","Left","FG",0
"31","Right","ALLI",0
"31","Right","PRV",5.5
"31","Right","NCE",0
"31","Right","UMP",32.58
"31","Right","DVD",0
"31","Right","FN",0
"31","Right","EXD",0
"31","Left","SOC",56.74
"31","Left","RDG",0
"31","Left","DVG",0
"31","Left","VEC",5.18
"31",NA,"REG",0
"31","Left","ECO",0
"31",NA,"AUT",0
"31","Right","CEN",0
"32","Left","EXG",0
"32","Left","FG",0
"32","Right","ALLI",0
"32","Right","PRV",0
"32","Right","NCE",0
"32","Right","UMP",40.62
"32","Right","DVD",0
"32","Right","FN",0
"32","Right","EXD",0
"32","Left","SOC",59.38
"32","Left","RDG",0
"32","Left","DVG",0
"32","Left","VEC",0
"32",NA,"REG",0
"32","Left","ECO",0
"32",NA,"AUT",0
"32","Right","CEN",0
"33","Left","EXG",0
"33","Left","FG",0
"33","Right","ALLI",0
"33","Right","PRV",0
"33","Right","NCE",4
"33","Right","UMP",34.04
"33","Right","DVD",2.83
"33","Right","FN",0
"33","Right","EXD",0
"33","Left","SOC",59.14
"33","Left","RDG",0
"33","Left","DVG",0
"33","Left","VEC",0
"33",NA,"REG",0
"33","Left","ECO",0
"33",NA,"AUT",0
"33","Right","CEN",0
"34","Left","EXG",0
"34","Left","FG",0
"34","Right","ALLI",0
"34","Right","PRV",2.25
"34","Right","NCE",0
"34","Right","UMP",35.67
"34","Right","DVD",0
"34","Right","FN",10.04
"34","Right","EXD",0
"34","Left","SOC",46.98
"34","Left","RDG",0
"34","Left","DVG",0
"34","Left","VEC",5.07
"34",NA,"REG",0
"34","Left","ECO",0
"34",NA,"AUT",0
"34","Right","CEN",0
"35","Left","EXG",0
"35","Left","FG",0
"35","Right","ALLI",14.89
"35","Right","PRV",0
"35","Right","NCE",0
"35","Right","UMP",17.39
"35","Right","DVD",10.94
"35","Right","FN",0
"35","Right","EXD",0
"35","Left","SOC",50.48
"35","Left","RDG",0
"35","Left","DVG",6.31
