"id","side","list","vote"
"01","Right","M-NC",1.41
"01","Right","UMP",17.28
"01","Right","DVD",26.18
"01","Right","FN",1.79
"01","Left","SOC",19.98
"01","Left","DVG",30.07
"01",NA,"AUT",3.29
"10","Left","COM",7.45
"10","Right","M-NC",5.57
"10","Right","UMP",37.89
"10","Right","DVD",14.85
"10","Right","FN",20.04
"10","Left","SOC",12.46
"10","Left","VEC",1.73
"11","Left","COM",12.91
"11","Right","UMP",4.8
"11","Right","FN",25.42
"11","Left","SOC",45.88
"11","Left","VEC",3.23
"11",NA,"AUT",7.76
"12","Right","UMP",14.85
"12","Right","DVD",35.56
"12","Left","PG",1.47
"12","Left","SOC",32.36
"12","Left","RDG",15.76
"13","Left","COM",2.83
"13","Right","M-NC",5.21
"13","Right","UMP",11.4
"13","Right","DVD",6.58
"13","Right","FN",34.62
"13","Left","SOC",39.35
"14","Left","COM",3.43
"14","Right","MODM",8.03
"14","Right","M-NC",9.22
"14","Right","UMP",12.57
"14","Right","DVD",16.46
"14","Left","SOC",43.29
"14","Left","RDG",2.35
"14",NA,"AUT",4.66
"15","Right","M-NC",11.86
"15","Right","DVD",45.07
"15","Left","SOC",18.95
"15","Left","DVG",17.21
"15","Left","VEC",2.17
"15",NA,"AUT",4.74
"16","Left","COM",6.8
"16","Right","MODM",4.51
"16","Right","UMP",36.69
"16","Right","FN",2.51
"16","Left","SOC",49.49
"17","Right","M-NC",1.18
"17","Right","M",9.57
"17","Right","UMP",29.15
"17","Right","DVD",2.59
"17","Right","FN",3.73
"17","Left","SOC",31.21
"17","Left","RDG",18.32
"17","Left","DVG",1.04
"17","Left","VEC",3.2
"18","Left","COM",25.62
"18","Right","M-NC",1.94
"18","Right","UMP",15.02
"18","Right","DVD",14.85
"18","Right","FN",6.28
"18","Left","SOC",30.76
"18","Left","RDG",3.43
"18","Left","DVG",2.09
"19","Left","COM",5.77
"19","Right","M-NC",2.47
"19","Right","M",22.98
"19","Right","UMP",17.12
"19","Right","DVD",3.12
"19","Left","SOC",43.34
"19","Left","DVG",5.2
"02","Right","M",1.48
"02","Right","UMP",17.66
"02","Right","DVD",14.82
"02","Right","FN",24.59
"02","Left","SOC",25.62
"02","Left","RDG",9.65
"02","Left","DVG",6.19
"21","Right","M-NC",3.04
"21","Right","M",17.54
"21","Right","UMP",25.22
"21","Right","DVD",4.25
"21","Right","FN",4.06
"21","Left","SOC",36.41
"21","Left","RDG",3.05
"21","Left","DVG",6.43
"22","Right","MODM",2.72
"22","Right","M-NC",3.07
"22","Right","M",16.06
"22","Right","UMP",5.6
"22","Right","DVD",15.3
"22","Left","SOC",46.47
"22","Left","DVG",1.63
"22","Left","VEC",9.15
"23","Right","UMP",8.94
"23","Right","DVD",35.01
"23","Left","SOC",40.91
"23","Left","RDG",9.92
"23","Left","DVG",5.22
"24","Left","COM",14.7
