"id","side","nom","vote"
"24","Right","BAYROU",8.07
"24","Right","DUPONT-AIGNAN",1.87
"24","Left","HOLLANDE",32.09
"25","Left","JOLY",2.35
"25","Right","LE PEN",19.19
"25","Right","SARKOZY",28.49
"25","Left","MÉLENCHON",10.96
"25","Left","POUTOU",1.18
"25","Left","ARTHAUD",0.65
"25",NA,"CHEMINADE",0.26
"25","Right","BAYROU",8.8
"25","Right","DUPONT-AIGNAN",1.84
"25","Left","HOLLANDE",26.28
"26","Left","JOLY",2.87
"26","Right","LE PEN",20.96
"26","Right","SARKOZY",26.12
"26","Left","MÉLENCHON",12.1
"26","Left","POUTOU",1.11
"26","Left","ARTHAUD",0.71
"26",NA,"CHEMINADE",0.26
"26","Right","BAYROU",8.88
"26","Right","DUPONT-AIGNAN",1.94
"26","Left","HOLLANDE",25.05
"27","Left","JOLY",1.66
"27","Right","LE PEN",22.75
"27","Right","SARKOZY",27.78
"27","Left","MÉLENCHON",10.34
"27","Left","POUTOU",1.37
"27","Left","ARTHAUD",0.65
"27",NA,"CHEMINADE",0.27
"27","Right","BAYROU",8.41
"27","Right","DUPONT-AIGNAN",2.11
"27","Left","HOLLANDE",24.65
"28","Left","JOLY",1.6
"28","Right","LE PEN",20.72
"28","Right","SARKOZY",29.39
"28","Left","MÉLENCHON",8.96
"28","Left","POUTOU",1.22
"28","Left","ARTHAUD",0.67
"28",NA,"CHEMINADE",0.26
"28","Right","BAYROU",9.22
"28","Right","DUPONT-AIGNAN",2.24
"28","Left","HOLLANDE",25.71
"29","Left","JOLY",2.95
"29","Right","LE PEN",11.98
"29","Right","SARKOZY",24.46
"29","Left","MÉLENCHON",11.52
"29","Left","POUTOU",1.48
"29","Left","ARTHAUD",0.6
"29",NA,"CHEMINADE",0.27
"29","Right","BAYROU",11.27
"29","Right","DUPONT-AIGNAN",1.78
"29","Left","HOLLANDE",33.7
"2A","Left","JOLY",2.23
"2A","Right","LE PEN",25.71
"2A","Right","SARKOZY",31.83
"2A","Left","MÉLENCHON",9.69
"2A","Left","POUTOU",1.18
"2A","Left","ARTHAUD",0.3
"2A",NA,"CHEMINADE",0.22
"2A","Right","BAYROU",5.48
"2A","Right","DUPONT-AIGNAN",1.07
"2A","Left","HOLLANDE",22.29
"2B","Left","JOLY",2.33
"2B","Right","LE PEN",23.26
"2B","Right","SARKOZY",31.06
"2B","Left","MÉLENCHON",9.99
"2B","Left","POUTOU",1.16
"2B","Left","ARTHAUD",0.33
"2B",NA,"CHEMINADE",0.2
"2B","Right","BAYROU",4.6
"2B","Right","DUPONT-AIGNAN",1.07
"2B","Left","HOLLANDE",25.99
"03","Left","JOLY",1.57
"03","Right","LE PEN",18.32
"03","Right","SARKOZY",24.02
"03","Left","MÉLENCHON",13.58
"03","Left","POUTOU",1.25
"03","Left","ARTHAUD",0.72
"03",NA,"CHEMINADE",0.22
"03","Right","BAYROU",8.65
"03","Right","DUPONT-AIGNAN",1.98
"03","Left","HOLLANDE",29.68
"30","Left","JOLY",2.12
"30","Right","LE PEN",25.51
"30","Right","SARKOZY",24.86
"30","Left","MÉLENCHON",13.33
"30","Left","POUTOU",1.01
"30","Left","ARTHAUD",0.47
"30",NA,"CHEMINADE",0.23
"30","Right","BAYROU",6.91
"30","Right","DUPONT-AIGNAN",1.46
"30","Left","HOLLANDE",24.11
"31","Left","JOLY",3.04
"31","Right","LE PEN",15.31
"31","Right","SARKOZY",22.84
"31","Left","MÉLENCHON",13.38
"31","Left","POUTOU",1.11
"31","Left","ARTHAUD",0.41
"31",NA,"CHEMINADE",0.25
"31","Right","BAYROU",9.32
"31","Right","DUPONT-AIGNAN",1.53
"31","Left","HOLLANDE",32.83
"32","Left","JOLY",2.25
"32","Right","LE PEN",15.9
"32","Right","SARKOZY",24.14
"32","Left","MÉLENCHON",12.06
"32","Left","POUTOU",1.23
"32","Left","ARTHAUD",0.54
"32",NA,"CHEMINADE",0.25
"32","Right","BAYROU",9.95
"32","Right","DUPONT-AIGNAN",1.82
"32","Left","HOLLANDE",31.86
"33","Left","JOLY",2.43
"33","Right","LE PEN",15.61
"33","Right","SARKOZY",24.84
"33","Left","MÉLENCHON",11.74
"33","Left","POUTOU",1.66
"33","Left","ARTHAUD",0.45
"33",NA,"CHEMINADE",0.23
"33","Right","BAYROU",9.68
"33","Right","DUPONT-AIGNAN",1.6
"33","Left","HOLLANDE",31.75
"34","Left","JOLY",2.52
"34","Right","LE PEN",22.28
"34","Right","SARKOZY",25.31
"34","Left","MÉLENCHON",13.27
"34","Left","POUTOU",1.03
"34","Left","ARTHAUD",0.4
"34",NA,"CHEMINADE",0.23
"34","Right","BAYROU",6.86
"34","Right","DUPONT-AIGNAN",1.4
"34","Left","HOLLANDE",26.69
"35","Left","JOLY",3.17
"35","Right","LE PEN",12.39
"35","Right","SARKOZY",26.02
"35","Left","MÉLENCHON",10.35
"35","Left","POUTOU",1.22
"35","Left","ARTHAUD",0.67
"35",NA,"CHEMINADE",0.24
"35","Right","BAYROU",12.35
"35","Right","DUPONT-AIGNAN",1.83
"35","Left","HOLLANDE",31.77
"36","Left","JOLY",1.45
"36","Right","LE PEN",19.55
"36","Right","SARKOZY",24.16
"36","Left","MÉLENCHON",11.26
"36","Left","POUTOU",1.43
"36","Left","ARTHAUD",0.86
"36",NA,"CHEMINADE",0.28
"36","Right","BAYROU",8.98
"36","Right","DUPONT-AIGNAN",2.17
"36","Left","HOLLANDE",29.87
"37","Left","JOLY",2.23
"37","Right","LE PEN",15.98
"37","Right","SARKOZY",28.24
"37","Left","MÉLENCHON",10.93
"37","Left","POUTOU",1.28
"37","Left","ARTHAUD",0.68
"37",NA,"CHEMINADE",0.27
"37","Right","BAYROU",10.27
"37","Right","DUPONT-AIGNAN",2.01
"37","Left","HOLLANDE",28.1
"38","Left","JOLY",3.03
"38","Right","LE PEN",18.97
"38","Right","SARKOZY",24.96
"38","Left","MÉLENCHON",12.4
"38","Left","POUTOU",1.03
"38","Left","ARTHAUD",0.52
"38",NA,"CHEMINADE",0.26
"38","Right","BAYROU",9.1
"38","Right","DUPONT-AIGNAN",1.9
"38","Left","HOLLANDE",27.84
"39","Left","JOLY",2.4
"39","Right","LE PEN",20.41
"39","Right","SARKOZY",25.83
"39","Left","MÉLENCHON",12.55
"39","Left","POUTOU",1.32
"39","Left","ARTHAUD",0.7
"39",NA,"CHEMINADE",0.28
"39","Right","BAYROU",9.62
"39","Right","DUPONT-AIGNAN",2.29
"39","Left","HOLLANDE",24.6
