"id","side","list","vote"
"01","Left","COM",3.86
"01","Left","UG",25.69
"01","Left","DVG",0.3
"01","Left","VEC",3.8
"01",NA,"DIV",0.14
"01","Right","UMP",2.66
"01","Right","UD",34.13
"01","Right","DVD",1.59
"01","Right","FN",27.85
"10","Left","FG",2.63
"10","Left","COM",6.41
"10","Right","DVD",16.59
"10","Right","FN",34.78
"10","Left","SOC",4.81
"10","Left","UG",2
"10","Left","DVG",3.23
"10","Left","VEC",1.75
"10","Right","UDI",0.31
"10","Right","UMP",19.08
"10","Right","UD",8.12
"10","Right","DLF",0.27
"11","Left","FG",9.58
"11","Left","COM",0.46
"11","Right","FN",33.66
"11","Left","SOC",32.13
"11","Left","DVG",5.2
"11","Left","VEC",1.22
"11",NA,"DIV",1.3
"11","Right","UMP",3.24
"11","Right","UD",4
"11","Right","DLF",0.32
"11","Right","DVD",8.89
"12","Left","FG",6.9
"12","Left","SOC",9.33
"12","Right","DLF",0.52
"12","Right","DVD",19.11
"12","Right","FN",12.64
"12","Left","UG",5.56
"12","Left","RDG",5.51
"12","Left","DVG",11.88
"12","Left","VEC",0.62
"12",NA,"DIV",0.72
"12","Right","UDI",15.23
"12","Right","UMP",9.19
"12","Right","UD",2.78
"13","Left","FG",4.21
"13","Left","COM",4.14
"13","Right","UMP",0.7
"13","Right","UD",26.67
"13","Right","DLF",1.42
"13","Right","DVD",0.31
"13","Right","FN",33.51
"13","Left","SOC",5.93
"13","Left","UG",6.83
"13","Left","RDG",0.09
"13","Left","DVG",12.01
"13","Left","VEC",1.43
"13",NA,"DIV",1.21
"13","Right","MDM",1.24
"13","Right","UDI",0.31
"14",NA,"EXG",0.33
"14","Left","FG",2.43
"14","Right","UMP",3.06
"14","Right","UD",17.23
"14","Right","DLF",0.26
"14","Right","DVD",15.81
"14","Right","FN",22.91
"14","Left","COM",0.65
"14","Left","SOC",14.2
"14","Left","UG",3.59
"14","Left","DVG",10.63
"14","Left","VEC",2.55
"14",NA,"DIV",1.87
"14","Right","MDM",1.93
"14","Right","UDI",2.53
"15","Left","FG",1.14
"15","Left","PG",0.56
"15","Right","DVD",22.69
"15","Right","FN",7.09
"15","Left","COM",1.26
"15","Left","SOC",4.92
"15","Left","UG",11.94
"15","Left","DVG",8.47
"15","Left","VEC",0.95
"15",NA,"DIV",20.66
"15","Right","UMP",2.3
"15","Right","UD",18.02
"16","Left","FG",6.56
"16","Left","UG",33.78
"16","Left","DVG",3.86
"16","Right","UD",33.13
"16","Right","DVD",2.19
"16","Right","FN",19.81
"16","Right","EXD",0.68
"17",NA,"EXG",0.16
"17","Left","FG",0.81
"17","Right","UC",0.66
"17","Right","UDI",0.64
"17","Right","UMP",13.29
"17","Right","UD",21.9
"17","Right","DLF",0.64
"17","Right","DVD",1.3
"17","Right","FN",24.58
"17","Left","COM",2.45
"17","Left","SOC",14.63
"17","Left","UG",6.55
"17","Left","RDG",3.78
"17","Left","DVG",5.19
"17","Left","VEC",1.65
"17",NA,"DIV",1.42
"17","Right","MDM",0.36
"18","Left","FG",10.85
"18","Left","SOC",20
"18","Right","FN",24.87
"18","Left","UG",2.35
"18","Left","DVG",5.35
"18","Right","UC",1.99
"18","Right","UDI",1.2
"18","Right","UMP",1.11
"18","Right","UD",30.69
"18","Right","DLF",0.43
"18","Right","DVD",1.15
"19","Left","FG",4.94
"19","Left","COM",3.49
"19","Left","SOC",31.69
"19","Left","DVG",6.89
"19","Right","UMP",35.72
"19","Right","UD",9.39
"19","Right","FN",7.89
"02",NA,"EXG",0.17
"02","Left","FG",0.85
"02","Right","DVD",1.04
"02","Right","FN",38.67
"02","Left","COM",1.78
"02","Left","SOC",3.19
"02","Left","UG",22.87
"02","Left","DVG",2.34
"02","Left","VEC",0.52
"02","Right","UDI",4.11
"02","Right","UMP",4.8
"02","Right","UD",19.66
"21","Left","FG",2.47
"21","Left","PG",0.28
"21","Left","SOC",2.59
"21","Left","UG",24.45
"21","Left","RDG",1.45
"21","Left","DVG",1.63
"21","Right","MDM",1.46
"21","Right","UD",35.87
"21","Right","DVD",2.53
"21","Right","FN",27.28
"22",NA,"EXG",0.49
"22","Left","FG",1.58
"22","Right","UMP",3.51
"22","Right","UD",10.76
"22","Right","DVD",18.53
"22","Right","FN",18.99
"22","Left","COM",0.69
"22","Left","SOC",18.38
"22","Left","UG",11.11
"22","Left","DVG",11.82
"22","Left","VEC",1.36
"22",NA,"DIV",0.37
"22","Right","UC",1.17
"22","Right","UDI",1.24
"23","Left","FG",9.66
"23","Left","PG",1.28
"23","Right","DVD",4.18
"23","Right","FN",17.56
"23","Left","SOC",19.46
"23","Left","UG",11.91
"23","Left","DVG",1.57
"23","Left","VEC",0.81
"23",NA,"DIV",0.5
"23","Right","UMP",10.33
"23","Right","UD",22.44
"23","Right","DLF",0.3
"24","Left","FG",6.45
"24","Left","COM",3.95
"24","Right","DVD",10.18
"24","Right","FN",21.37
"24","Left","SOC",30.9
"24","Left","UG",2.77
"24","Left","DVG",3.33
"24","Left","VEC",1.12
"24","Right","MDM",0.65
"24","Right","UDI",0.83
"24","Right","UMP",6.24
"24","Right","UD",12.23
"25","Left","FG",1.48
"25","Left","COM",3.29
"25","Right","FN",29.4
"25","Left","SOC",21.89
"25","Left","UG",1.05
"25","Left","DVG",4.73
"25","Left","VEC",3.35
"25",NA,"DIV",1.8
"25","Right","UMP",6.02
"25","Right","UD",23.71
"25","Right","DVD",3.28
"26","Left","SOC",25.22
"26","Left","UG",3.38
"26","Left","DVG",10.69
"26",NA,"DIV",0.68
"26","Right","UD",31.02
"26","Right","DLF",0.16
"26","Right","DVD",1.68
"26","Right","FN",27.18
"27","Left","FG",6.82
"27","Left","UG",19.89
"27","Left","DVG",3.89
"27","Left","VEC",3.08
"27",NA,"DIV",0.6
"27","Right","UD",31.82
"27","Right","DLF",0.39
"27","Right","DVD",2.08
"27","Right","FN",31.44
"28",NA,"EXG",0.22
"28","Left","FG",5.61
"28","Left","SOC",7.27
"28","Left","UG",2.3
"28","Left","DVG",11.85
"28","Right","UC",1.39
"28","Right","UMP",24.23
"28","Right","UD",11.54
"28","Right","DVD",6.52
"28","Right","FN",29.08
"29",NA,"EXG",0.89
"29","Left","FG",4.58
"29","Right","UD",33.32
"29","Right","DLF",0.34
"29","Right","DVD",1.32
"29","Right","FN",15.73
"29","Left","COM",0.3
"29","Left","SOC",33.53
"29","Left","RDG",0.04
"29","Left","DVG",0.6
"29","Left","VEC",5.7
"29",NA,"DIV",2.81
"29","Right","UDI",0.16
"29","Right","UMP",0.67
"2A","Left","FG",5.46
"2A","Left","PG",1.18
"2A","Left","DVG",26.95
"2A",NA,"DIV",8.35
"2A","Right","UMP",33.87
"2A","Right","DVD",15.93
"2A","Right","FN",8.25
"2B","Left","FG",4.15
"2B","Left","COM",2.16
"2B","Left","SOC",4.44
"2B","Left","RDG",5.62
"2B","Left","DVG",41.13
"2B",NA,"DIV",15.72
"2B","Right","UMP",7.93
"2B","Right","DVD",13.29
"2B","Right","FN",5.56
"03","Left","FG",6.12
"03","Left","COM",7.18
"03","Right","FN",21.52
"03","Left","SOC",12.7
"03","Left","UG",7.65
"03","Left","RDG",2.31
"03","Left","DVG",4.15
"03",NA,"DIV",0.97
"03","Right","UMP",2.95
"03","Right","UD",8.35
"03","Right","DVD",26.1
"30","Left","FG",4.66
"30","Left","COM",7.11
"30","Right","FN",35.54
"30","Left","SOC",9.32
"30","Left","UG",6.46
"30","Left","DVG",9
"30","Left","VEC",0.62
"30",NA,"DIV",1.61
"30","Right","UD",22.21
"30","Right","DLF",1.09
"30","Right","DVD",2.39
"31","Left","FG",1.46
"31","Left","COM",4.04
"31","Right","DVD",8.81
"31","Right","FN",22.33
"31","Left","SOC",26.39
"31","Left","UG",6.14
"31","Left","RDG",0.25
"31","Left","DVG",9.62
"31","Left","VEC",2.55
"31","Right","UMP",0.27
"31","Right","UD",17.85
"31","Right","DLF",0.29
"32","Left","FG",7.1
"32","Left","SOC",24.81
"32","Right","FN",10.16
"32","Left","UG",13.92
"32","Left","DVG",2.84
"32","Left","VEC",2.08
"32",NA,"DIV",2.82
"32","Right","UC",2.27
"32","Right","UMP",8.73
"32","Right","UD",1.7
"32","Right","DVD",23.57
"33","Left","FG",8.05
"33","Left","SOC",16.63
"33","Right","EXD",0
"33","Left","UG",15.78
"33","Left","DVG",0.64
"33","Left","VEC",2.6
"33",NA,"DIV",0.46
"33","Right","UD",31.84
"33","Right","DLF",0.24
"33","Right","DVD",0.98
"33","Right","FN",22.78
"34","Left","FG",4.7
"34","Left","PG",0.62
"34","Right","UDI",0.4
"34","Right","UMP",9.55
"34","Right","UD",12.28
"34","Right","DLF",0.4
"34","Right","DVD",1.01
"34","Right","FN",31.89
"34","Right","EXD",0.07
"34","Left","COM",1.48
"34","Left","SOC",16.97
"34","Left","UG",3.75
"34","Left","DVG",10.77
"34","Left","VEC",5.37
"34",NA,"DIV",0.46
"34","Right","MDM",0.14
"34","Right","UC",0.14
"35","Left","FG",2
"35","Left","SOC",19.72
"35","Right","UD",15.19
"35","Right","DVD",10.6
"35","Right","FN",18.39
"35","Left","UG",7.61
"35","Left","RDG",0.71
"35","Left","DVG",8.61
"35","Left","VEC",5.5
"35",NA,"DIV",2.03
"35","Right","UC",2.22
"35","Right","UDI",3.36
"35","Right","UMP",4.05
"36",NA,"EXG",1.33
"36","Left","FG",2.64
"36","Left","SOC",10.74
"36","Left","UG",9.05
"36","Left","DVG",4.24
"36","Left","VEC",1.27
"36",NA,"DIV",1.42
"36","Right","UD",41
"36","Right","DVD",4.11
"36","Right","FN",24.21
"37",NA,"EXG",0.16
"37","Left","FG",2.58
"37","Right","DVD",1.41
"37","Right","FN",23.38
"37","Left","COM",0.6
"37","Left","SOC",21.15
"37","Left","UG",4.27
"37","Left","DVG",9.99
"37","Left","VEC",0.41
"37",NA,"DIV",0.25
"37","Right","UD",35.57
"37","Right","DLF",0.24
"38","Left","FG",1.22
"38","Left","COM",1.68
"38","Left","UG",24.96
"38","Left","DVG",14.14
"38",NA,"DIV",2.4
"38","Right","UMP",0.77
"38","Right","UD",27.88
"38","Right","DLF",0.83
"38","Right","FN",26.09
"38","Right","EXD",0.03
"39","Left","FG",2.55
"39","Left","SOC",2.79
"39","Left","UG",4.9
"39","Left","DVG",22.75
"39","Left","VEC",0.78
"39","Right","UDI",1.91
"39","Right","UMP",2.12
"39","Right","UD",30.35
"39","Right","DVD",5.98
"39","Right","FN",25.88
"04","Left","FG",12.58
"04","Left","SOC",23.51
"04","Right","EXD",1.52
"04","Left","DVG",6.36
"04","Left","VEC",2.82
"04",NA,"DIV",0.48
"04","Right","UMP",9.72
"04","Right","UD",18.62
"04","Right","DLF",0.52
"04","Right","DVD",6.11
"04","Right","FN",17.77
"40","Left","FG",7.85
"40","Left","SOC",34.96
"40","Left","UG",2.96
"40","Left","DVG",0.87
"40","Left","VEC",1.62
"40","Right","UD",32.63
"40","Right","DLF",0.44
"40","Right","FN",18.67
"41","Left","FG",1.21
"41","Left","COM",6.31
"41","Right","UD",25.27
