"ville","users","lon","lat","address"
"chateaubriant",13,-1.3762239,47.720948,"châteaubriant, france"
"chateaudun",5,1.327696,48.070369,"28200 châteaudun, france"
"chateaulin",4,-4.094207,48.195389,"châteaulin, france"
"chateauroux",57,1.686779,46.811434,"châteauroux, france"
"chatellerault",27,0.548146,46.816487,"châtellerault, france"
"chatenay malabry",22,2.270748,48.771896,"châtenay-malabry, france"
"chatillon",34,2.289387,48.804689,"châtillon, france"
"chatou",20,2.160098,48.896391,"chatou, france"
"chaumont",22,5.1392559,48.113748,"chaumont, france"
"chelles",39,2.59016,48.877535,"chelles, france"
"cherbourg octeville",15,-1.622137,49.6337308,"cherbourg, france"
"chinon",10,0.240385,47.167296,"chinon, france"
"choisy le roi",13,2.4088759,48.762541,"choisy-le-roi, france"
"cholet",38,-0.879787,47.059407,"cholet, france"
"clamart",51,2.257289,48.799815,"clamart, france"
"clamecy",1,3.518769,47.459605,"clamecy, france"
"clermont",225,2.414202,49.376086,"clermont, france"
"clermont ferrand",237,3.087025,45.777222,"clermont-ferrand, france"
"clichy",90,2.304768,48.904526,"clichy, france"
"clichy sous bois",2,2.546147,48.910899,"clichy-sous-bois, france"
"cognac",26,-0.328744,45.691046,"cognac, france"
"colmar",87,7.358512,48.0793589,"colmar, france"
"colombes",119,2.2533313,48.9220615,"colombes, france"
"colomiers",22,1.336579,43.612189,"colomiers, france"
"commercy",2,5.592348,48.763802,"commercy, france"
"compiegne",68,2.826145,49.417816,"compiègne, france"
"condom",2,0.372492,43.9582229,"condom, france"
"conflans sainte honorine",8,2.09178,49.000275,"conflans-sainte-honorine, france"
"confolens",1,0.668317,46.014054,"confolens, france"
"corbeil essonnes",25,2.474805,48.6102599,"corbeil-essonnes, france"
"corte",16,9.149022,42.309409,"corte, france"
"cosne cours sur loire",4,2.9252801,47.3824086,"cosne-cours-sur-loire, france"
"courbevoie",112,2.25929,48.900552,"courbevoie, france"
"coutances",4,-1.4452609,49.047808,"50200 coutances, france"
"creil",36,2.4783913,49.2576872,"creil, france"
"creteil",81,2.455572,48.790367,"créteil, france"
"dax",40,-1.051945,43.708608,"dax, france"
"die",9,5.370536,44.751036,"26150 die, france"
"dieppe",35,1.077483,49.922992,"dieppe, france"
"digne les bains",11,6.235976,44.092193,"digne, france"
"dijon",598,5.04148,47.322047,"dijon, france"
"dinan",25,-2.047327,48.454366,"22100 dinan, france"
"dole",12,5.49081,47.09534,"dole, france"
"douai",57,3.080602,50.367874,"douai, france"
"draguignan",25,6.464993,43.5377269,"draguignan, france"
"drancy",28,2.445676,48.924298,"drancy, france"
"dreux",17,1.370889,48.736134,"dreux, france"
"dunkerque",81,2.3767763,51.0343684,"dunkirk, france"
"echirolles",5,5.718034,45.142151,"échirolles, france"
"epernay",28,3.956242,49.043411,"épernay, france"
"epinal",49,6.449403,48.172402,"épinal, france"
"epinay sur seine",30,2.314739,48.955735,"épinay-sur-seine, france"
"etampes",9,2.16142,48.434416,"étampes, france"
"evreux",70,1.151361,49.0270129,"évreux, france"
"evry",78,2.441782,48.629828,"évry, france"
"figeac",8,2.032871,44.608288,"46100 figeac, france"
"florac",3,3.593714,44.324014,"florac, france"
"foix",13,1.605232,42.964127,"09000 foix, france"
"fontainebleau",53,2.70162,48.404676,"fontainebleau, france"
"fontenay le comte",9,-0.8065,46.465972,"fontenay-le-comte, france"
"fontenay sous bois",30,2.475907,48.851542,"fontenay-sous-bois, france"
"forbach",21,6.895295,49.186515,"forbach, france"
"forcalquier",6,5.780712,43.959933,"forcalquier, france"
"fort de france",26,-61.0587804,14.6160647,"fort-de-france bay, martinique"
"fougeres",14,-1.204626,48.3515609,"35133 fougères, france"
"franconville",10,2.229632,48.986011,"franconville, france"
"frejus",58,6.737034,43.433152,"fréjus, france"
"gagny",10,2.536518,48.8849159,"gagny, france"
"gap",40,6.079758,44.559638,"gap, france"
"garges les gonesse",10,2.400724,48.97178,"garges-lès-gonesse, france"
"gennevilliers",30,2.293275,48.925525,"gennevilliers, france"
"gex",11,6.058036,46.3341909,"gex, france"
"gourdon",2,1.381867,44.736788,"gourdon, france"
"goussainville",5,2.471236,49.030467,"goussainville, france"
"grasse",33,6.926492,43.660153,"grasse, france"
"grenoble",738,5.724524,45.188529,"grenoble, france"
"guebwiller",6,7.209336,47.911586,"guebwiller, france"
"gueret",15,1.871452,46.169599,"23000 guéret, france"
"guingamp",11,-3.148352,48.561366,"guingamp, france"
"haguenau",18,7.79125,48.813288,"haguenau, france"
"houilles",20,2.18888,48.926916,"houilles, france"
"hyeres",59,6.128639,43.120541,"hyères, france"
"issoire",11,3.248128,45.54151,"63500 issoire, france"
"issoudun",10,1.988654,46.947535,"issoudun, france"
"issy les moulineaux",88,2.2743419,48.8245306,"issy-les-moulineaux, france"
"istres",24,4.987968,43.513006,"istres, france"
"ivry sur seine",31,2.38822,48.813055,"ivry-sur-seine, france"
"jonzac",5,-0.431058,45.445368,"17500 jonzac, france"
"joue les tours",6,0.6613099,47.351861,"joué-lès-tours, france"
"l hay les roses",14,2.338084,48.7789659,"l'haÿ-les-roses, france"
"la chatre",5,1.986165,46.581832,"36400 la châtre, france"
"la ciotat",38,5.605155,43.173653,"la ciotat, france"
"la courneuve",20,2.3990819,48.9320252,"la courneuve, france"
"la fleche",13,-0.074646,47.69589,"la flèche, france"
"la possession",4,55.3357,-20.93299,"la possession, reunion"
"la roche sur yon",81,-1.426442,46.670511,"la roche-sur-yon, france"
"la rochelle",329,-1.151139,46.160329,"la rochelle, france"
"la seyne sur mer",37,5.878219,43.102976,"la seyne-sur-mer, france"
"la tour du pin",2,5.445327,45.564026,"38110 la tour-du-pin, france"
"la trinite",10,7.313963,43.742043,"la trinité, france"
"langon",4,-0.245126,44.555419,"langon, france"
"langres",4,5.334297,47.86683,"52200 langres, france"
"lannion",36,-3.459144,48.732084,"lannion, france"
"laon",29,3.61989,49.564133,"laon, france"
"largentiere",1,4.29251,44.541555,"07110 largentière, france"
"laval",123,-0.7669906,48.0785146,"laval, france"
"le blanc",7,1.064289,46.633239,"le blanc, france"
"le blanc mesnil",8,2.46436,48.941345,"le blanc-mesnil, france"
"le cannet",25,7.01902,43.576551,"le cannet, france"
"le creusot",11,4.4278,46.805351,"le creusot, france"
"le grand quevilly",2,1.041384,49.411811,"le grand-quevilly, france"
"le havre",192,0.107929,49.49437,"le havre, france"
"le lamentin",3,-61,14.6,"le lamentin, martinique"
"le marin",1,-60.8658,14.4694,"le marin, martinique"
"le mans",266,0.199556,48.00611,"le mans, france"
"le perreux sur marne",11,2.504038,48.841386,"le perreux-sur-marne, france"
"le port",4,-1.9705283,47.1125014,"le port, 44210 pornic, france"
"le puy en velay",45,3.882936,45.042768,"le puy, france"
"le raincy",14,2.5231119,48.897386,"le raincy, france"
"le tampon",5,4.4433193,44.0402611,"voie communale le tampon, 30700 saint-quentin-la-poterie, france"
"le vigan",3,3.606322,43.992927,"le vigan, france"
"lens",48,2.83183,50.42893,"lens, france"
"lesparre medoc",1,-0.93519,45.30581,"lesparre-médoc, france"
"les abymes",3,1.694777,47.0201909,"les abymes, 36110, france"
"les andelys",5,1.4192,49.246568,"les andelys, france"
"les mureaux",7,1.912178,48.990181,"les mureaux, france"
"les sables d olonne",34,-1.795493,46.492958,"les sables-d'olonne, france"
"levallois perret",87,2.287864,48.893217,"levallois-perret, france"
"libourne",37,-0.243985,44.912998,"libourne, france"
"lievin",8,2.775222,50.417921,"liévin, france"
"lille",1875,3.057256,50.62925,"lille, france"
"limoges",275,1.261105,45.833619,"limoges, france"
"limoux",11,2.218142,43.053289,"limoux, france"
"lisieux",25,0.227849,49.145922,"14100 lisieux, france"
"livry gargan",12,2.536118,48.91923,"livry-gargan, france"
"loches",11,0.997664,47.128158,"loches, france"
"lodeve",3,3.313975,43.73366,"lodève, france"
"lons le saunier",24,5.550796,46.671361,"lons-le-saunier, france"
"lorient",137,-3.3702449,47.7482524,"lorient, france"
"louhans",3,5.223371,46.628291,"louhans, france"
"luneville",7,6.492339,48.592237,"lunéville, france"
"lure",9,6.494274,47.686417,"70200 lure, france"
"lyon",3904,4.835659,45.764043,"lyon, france"
"macon",46,4.828731,46.3068839,"mâcon, france"
"maisons alfort",24,2.429443,48.801148,"maisons-alfort, france"
"malakoff",34,2.2977599,48.817275,"malakoff, france"
"mamers",1,0.36733,48.347607,"mamers, france"
"mamoudzou",6,45.2278,-12.7806,"mamoudzou, mayotte"
"mantes la jolie",43,1.714958,48.989323,"mantes-la-jolie, france"
"marcq en baroeul",24,3.096267,50.670368,"marcq-en-barœul, france"
"marignane",15,5.218332,43.4212739,"marignane, france"
"marmande",15,0.159869,44.500484,"marmande, france"
"marseille",2080,5.36978,43.296482,"marseille, france"
"martigues",34,5.053728,43.404811,"martigues, france"
"massy",32,2.27137,48.730756,"massy, france"
"maubeuge",23,3.9674,50.280228,"maubeuge, france"
"mauriac",2,2.3366114,45.2199787,"mauriac, france"
"mayenne",45,-0.620935,48.3061239,"mayenne, france"
"meaux",45,2.8884657,48.9562018,"meaux, france"
"melun",46,2.6554,48.542105,"melun, france"
"mende",14,3.501873,44.517611,"mende, france"
"merignac",46,-0.656358,44.8448769,"mérignac, france"
"metz",460,6.1757156,49.1193089,"metz, france"
"meudon",51,2.23847,48.812995,"meudon, france"
"meyzieu",9,5.003658,45.766821,"meyzieu, france"
"millau",11,3.077801,44.100575,"millau, france"
"mirande",1,0.403639,43.516823,"32300 arrondissement of mirande, france"
"molsheim",5,7.491512,48.543715,"molsheim, france"
"mont de marsan",35,-0.499782,43.893485,"mont-de-marsan, france"
"montargis",20,2.736291,47.99729,"montargis, france"
"montauban",73,1.3529599,44.0221252,"montauban, france"
"montbard",6,4.337495,47.624329,"montbard, france"
