"name","gender","party","twitter","mandates","ville","departement","type","id","statuses","followers","created","last_tweeted","age","followers_sample","sample"
"François HOLLANDE","m","PS","fhollande","Président de la République","","","Else","18814998",4374,949862,2009,"2015-04-07",2348,921711,TRUE
"Nicolas SARKOZY","m","UMP","nicolassarkozy","Responsable politique national, Sans mandat électif courant","","","Else","490126636",5919,719424,2012,"2015-04-21",1220,696968,TRUE
"Marine LE PEN","f","FN","mlp_officiel","Conseiller municipal, Député européen, Responsable politique national","","EUROPE","MEP","217749896",5603,554177,2010,"2015-04-21",1669,525326,TRUE
"Jean-Luc MELENCHON","m","FDG","jlmelenchon","Député européen","","","MEP","80820758",11758,424239,2009,"2015-04-20",2077,406113,TRUE
"Nathalie KOSCIUSKO-MORIZET","f","UMP","nk_m","Conseiller municipal, Député, Responsable politique national","paris","paris","MP","20702279",5817,389409,2009,"2015-04-21",2314,378960,TRUE
"Anne HIDALGO","f","PS","anne_hidalgo","Conseiller régional, Maire","paris","paris","Local","26073581",24331,338536,2009,"2015-04-21",2275,318907,TRUE
"Najat VALLAUD-BELKACEM","f","PS","najatvb","Ministre","","","Else","79145543",6234,332141,2009,"2015-04-21",2083,320487,TRUE
"François BAYROU","m","MODEM","bayrou","Maire, Président de Communauté d'Agglomération, Responsable politique national","pau","pyrenees atlantiques","Else","17211968",1699,279149,2008,"2015-04-21",2413,271041,TRUE
"Arnaud MONTEBOURG","m","PS","montebourg","Sans mandat électif courant","","","Else","69255422",1440,275652,2009,"2015-04-16",2119,269614,TRUE
"Cécile DUFLOT","f","EELV","cecileduflot","Conseiller régional, Député","paris","paris","MP","17508660",12627,274962,2008,"2015-04-19",2399,267581,TRUE
"Christine LAGARDE","f","UMP","lagarde","Sans mandat électif courant","","","Else","304909941",571,268685,2011,"2015-04-19",1483,261472,TRUE
"Ségolène ROYAL","f","PS","royalsegolene","Ministre","","","Else","69032746",3636,251419,2009,"2015-04-21",2119,246181,TRUE
"Fleur PELLERIN","f","PS","fleurpellerin","Ministre","","","Else","38021678",3864,233208,2009,"2015-04-21",2232,221358,TRUE
"François FILLON","m","UMP","francoisfillon","Député","","paris","MP","551669623",6784,228951,2012,"2015-04-21",1160,215220,TRUE
"Benoît HAMON","m","PS","benoithamon","Député","","yvelines","MP","14389177",2933,204266,2008,"2015-04-21",2618,202686,TRUE
"Jean-François COPE","m","UMP","jf_cope","Député, Maire","meaux","seine et marne","MP","105116603",4958,199357,2010,"2015-04-21",1978,196623,TRUE
"Christiane TAUBIRA","f","PRG","chtaubira","Conseiller régional, Ministre","","","Else","93484066",1185,186397,2009,"2015-04-20",2024,179627,TRUE
"Manuel VALLS","m","PS","manuelvalls","Maire adjoint, Ministre","","","Else","70385068",415,178336,2009,"2015-04-21",2115,165752,TRUE
"Alain JUPPE","m","UMP","alainjuppe","Maire, Président de Communauté d'Agglomération","bordeaux","gironde","Local","258345629",5083,176991,2011,"2015-04-21",1570,166790,TRUE
"Jean-Marc AYRAULT","m","PS","jeanmarcayrault","Député","","loire atlantique","MP","28332028",3236,171110,2009,"2015-04-13",2266,168798,TRUE
"Jean-Louis BORLOO","m","UDI","jlborloo","Sans mandat électif courant","valenciennes","nord","Else","279137479",1091,163925,2011,"2015-04-21",1529,161750,TRUE
"Laurent WAUQUIEZ","m","UMP","laurentwauquiez","Député, Maire, Responsable politique national, Vice-Président de Communauté d'Agglomération","","haute loire","MP","19438626",2093,150584,2009,"2015-04-21",2334,148555,TRUE
"Laurent FABIUS","m","PS","laurentfabius","Conseiller municipal, Ministre","","","Else","22428439",6605,146381,2009,"2015-04-21",2297,141420,TRUE
"Valérie PECRESSE","f","UMP","vpecresse","Conseiller régional, Député","","yvelines","MP","49969223",11413,146111,2009,"2015-04-21",2184,143788,TRUE
"Martine AUBRY","f","PS","martineaubry","Maire","lille","nord","Local","26031424",483,144219,2009,"2014-03-30",2275,144219,FALSE
"Aurélie FILIPPETTI","f","PS","aurelifil","Député","","moselle","MP","251524687",1068,138986,2011,"2015-04-20",1584,137119,TRUE
"Nadine MORANO","f","UMP","nadine__morano","Conseiller régional, Député européen","","EUROPE","MEP","413839619",11469,131992,2011,"2015-04-20",1308,131166,TRUE
"Pierre MOSCOVICI","m","PS","pierremoscovici","Sans mandat électif courant","","","Else","28565356",5121,131425,2009,"2015-04-21",2265,128973,TRUE
"Eva JOLY","f","EELV","evajoly","Député européen","","EUROPE","MEP","234035533",2298,123621,2011,"2015-04-21",1623,121859,TRUE
"Jean-Pierre RAFFARIN","m","UMP","jpraffarin","Sénateur","vienne","vienne","Senator","359979086",6038,97507,2011,"2015-04-21",1394,96403,TRUE
"Rachida DATI","f","UMP","datirachida","Député européen, Maire","","","MEP","272401679",2051,93346,2011,"2015-04-21",1543,91701,TRUE
"Christine BOUTIN","f","DVD","christineboutin","Conseiller départemental","rambouillet","yvelines","Local","90635543",13025,90774,2009,"2015-04-21",2037,88691,TRUE
"Philippe POUTOU","m","DVG","philippepoutou","Responsable politique national, Sans mandat électif courant","","","Else","374392774",1473,86158,2011,"2015-04-21",1369,81191,TRUE
"Daniel COHN-BENDIT","m","EELV","danycohnbendit","Député européen","","","MEP","23341062",129,78337,2009,"2015-01-27",2290,78190,TRUE
"Bruno LE MAIRE","m","UMP","bruno_lemaire","Député","","eure","MP","374184532",4324,77002,2011,"2015-04-21",1369,74594,TRUE
"Hervé MORIN","m","UDI","herve_morin","Député, Maire, Président de Communauté d'Agglomération","epaignes","eure","MP","34225599",4659,76286,2009,"2015-04-21",2246,73038,TRUE
"Emmanuel MACRON","m","PS","emmanuelmacron","Ministre","","","Else","1976143068",343,69840,2013,"2015-04-21",603,62325,TRUE
"Marisol TOURAINE","f","PS","marisoltouraine","Ministre","","","Else","308679667",1054,69637,2011,"2015-04-19",1476,67867,TRUE
"Harlem DESIR","m","PS","harlemdesir","Secrétaire d'Etat","","","Local","24732180",2756,68179,2009,"2015-04-21",2282,67152,TRUE
"Nicolas DUPONT-AIGNAN","m","DVD","dupontaignan","Député, Maire, Président de Communauté d'Agglomération, Responsable politique national","","essonne","MP","38170599",5469,65380,2009,"2015-04-17",2232,65082,TRUE
"Axelle LEMAIRE","f","PS","axellelemaire","Secrétaire d'Etat","","","Local","116063765",4939,63484,2010,"2015-04-20",1941,60003,TRUE
"Claude BARTOLONE","m","PS","claudebartolone","Président de l'Assemblée Nationale","","seine saint denis","MP","24906326",2629,63344,2009,"2015-04-21",2281,63074,TRUE
"Corinne LEPAGE","f","DVD","corinnelepage","Responsable politique national, Sans mandat électif courant","","","Else","31177357",10727,63146,2009,"2015-04-21",2253,61639,TRUE
"Christian ESTROSI","m","UMP","cestrosi","Député, Maire, Président de Communauté d'Agglomération","nice","alpes maritimes","MP","83784709",6799,62039,2009,"2015-04-21",2065,60447,TRUE
"Jean-Luc ROMERO","m","DVG","jeanlucromero","Conseiller municipal, Conseiller régional","paris","paris","Local","34737026",28349,61458,2009,"2015-04-21",2244,61242,TRUE
"François BAROIN","m","UMP","francoisbaroin","Maire, Président de Communauté d'Agglomération, Sénateur","troyes","aube","Senator","96093611",275,60043,2009,"2015-01-07",2013,60117,TRUE
"Marion MARECHAL-LE PEN","f","FN","marion_m_le_pen","Député","","vaucluse","MP","520449734",1968,59846,2012,"2015-04-21",1193,55952,TRUE
"Vincent PEILLON","m","PS","vincent_peillon","Député européen","","","MEP","25104112",299,58096,2009,"2014-05-23",2280,58294,FALSE
"Dominique DE VILLEPIN","m","DVD","villepin","Responsable politique national, Sans mandat électif courant","","","Else","29499020",614,56678,2009,"2015-01-10",2260,56790,TRUE
"Jean-Pierre CHEVENEMENT","m","DVG","chevenement","Responsable politique national, Sans mandat électif courant","","","Else","57116930",3475,53797,2009,"2015-04-21",2161,53571,TRUE
"Stéphane LE FOLL","m","PS","slefoll","Conseiller communautaire, Conseiller municipal, Ministre","","","Else","415498269",2590,51630,2011,"2015-04-21",1306,50025,TRUE
"Xavier BERTRAND","m","UMP","xavierbertrand","Député, Maire","saint quentin","aisne","MP","17172319",2145,49638,2008,"2015-04-19",2414,48714,TRUE
"Delphine BATHO","f","PS","delphinebatho","Député","","deux sevres","MP","263572557",2126,49620,2011,"2015-04-14",1559,49038,TRUE
"Bernard CAZENEUVE","m","PS","bcazeneuve","Ministre","","","Else","427288938",494,45455,2011,"2015-04-21",1291,42641,TRUE
"Benoist APPARU","m","UMP","benoistapparu","Conseiller communautaire, Député, Maire","chalons en champagne","marne","MP","22245559",3907,42521,2009,"2015-04-21",2299,41837,TRUE
"Luc CHATEL","m","UMP","lucchatel","Député","","haute marne","MP","23458148",2572,42479,2009,"2015-04-20",2289,42046,TRUE
"Rama YADE","f","UDI","ramayade","Conseiller régional","","hauts de seine","Local","17172412",921,42038,2008,"2015-04-15",2414,40994,TRUE
"Florian PHILIPPOT","m","FN","f_philippot","Député européen, Responsable politique national","","","MEP","472412809",4188,41475,2012,"2015-04-21",1239,39762,TRUE
"François REBSAMEN","m","PS","frebsamen","Conseiller communautaire, Conseiller municipal, Ministre","dijon","cote d or","Else","72276456",6364,40149,2009,"2015-04-21",2108,38949,TRUE
"José BOVE","m","EELV","josebove","Député européen","","","MEP","23339387",2054,38362,2009,"2015-04-21",2290,37314,TRUE
"Chantal JOUANNO","f","UDI","chantal_jouanno","Conseiller régional, Responsable politique national, Sénateur","","paris","Senator","102397481",3777,37364,2010,"2015-04-20",1987,36530,TRUE
"Frédéric LEFEBVRE","m","UMP","flefebvre_ump","Député","","hauts de seine","MP","92548542",15796,36749,2009,"2015-04-21",2029,36385,TRUE
"Gérard COLLOMB","m","PS","gerardcollomb","Maire, Président de Communauté d'Agglomération, Sénateur","lyon","rhone","Senator","11694252",4343,36599,2007,"2015-04-20",2723,35252,TRUE
"Eric CIOTTI","m","UMP","eciotti","Député, Président de Conseil Départemental","","alpes maritimes","MP","87886754",5536,33796,2009,"2015-04-21",2048,32815,TRUE
"Guillaume PELTIER","m","UMP","g_peltier","Maire, Président de Communauté d'Agglomération","neung sur beuvron","loir et cher","Local","239867102",2893,31458,2011,"2015-06-11",1609,31458,TRUE
"Bruno JULLIARD","m","PS","brunojulliard","Maire adjoint","paris","paris","Local","94114176",3732,31450,2009,"2015-04-21",2022,31131,TRUE
"Jean-Vincent PLACE","m","EELV","jvplace","Conseiller régional, Sénateur","","essonne","Senator","219361536",4614,30282,2010,"2015-04-19",1664,29579,TRUE
"Jean-Paul HUCHON","m","PS","jphuchon","Président de Conseil Régional","","yvelines","Local","19618747",2254,29630,2009,"2015-04-21",2330,29166,TRUE
"Elisabeth GUIGOU","f","PS","elisabethguigou","Député","aubervilliers","seine saint denis","MP","108999975",1616,29513,2010,"2015-04-20",1965,29195,TRUE
"Jean-Christophe CAMBADELIS","m","PS","jccambadelis","Député, Responsable politique national","paris","paris","MP","14658057",4333,29326,2008,"2015-04-20",2598,28406,TRUE
"Gilbert COLLARD","m","FN","gilbertcollard","Député","","gard","MP","471163803",3004,27979,2012,"2015-04-21",1241,26619,TRUE
"Julien DRAY","m","PS","juliendray","Vice-Président de Conseil Régional","","essonne","Local","39798884",858,27897,2009,"2015-04-17",2224,27683,TRUE
"Lionel TARDY","m","UMP","deputetardy","Député","","haute savoie","MP","75597552",12842,27682,2009,"2015-04-20",2095,27252,TRUE
"Michèle DELAUNAY","f","PS","micheledelaunay","Conseiller communautaire, Conseiller municipal, Député","","gironde","MP","256905843",28296,25183,2011,"2015-04-21",1573,24841,TRUE
"Yves JEGO","m","UDI","yvesjego","Député, Maire, Président de Communauté d'Agglomération, Responsable politique national","","seine et marne","MP","74092783",7519,24647,2009,"2015-04-21",2101,24119,TRUE
"Bruno LE ROUX","m","PS","brunoleroux","Député","","seine saint denis","MP","78242617",2273,24392,2009,"2015-04-17",2086,23971,TRUE
"Eric WOERTH","m","UMP","ericwoerth","Député, Maire","chantilly","oise","MP","390156878",1430,23618,2011,"2015-04-19",1342,23412,TRUE
"Marylise LEBRANCHU","f","PS","mlebranchu","Conseiller régional, Ministre","","","Else","131211166",1300,23187,2010,"2015-04-21",1893,22614,TRUE
"Jean-Marie LE PEN","m","FN","lepenjm","Conseiller régional, Député européen","","","MEP","1206108030",367,23067,2013,"2015-04-18",844,18951,TRUE
"Dominique BERTINOTTI","f","PS","dbertinotti","Sans mandat électif courant","","","Else","29230125",1010,22450,2009,"2015-04-21",2261,22231,TRUE
"Valérie FOURNEYRON","f","PS","vfourneyron","Député","","seine maritime","MP","417923710",2547,22351,2011,"2015-04-21",1303,22039,TRUE
"David ASSOULINE","m","PS","dassouline","Conseiller municipal, Sénateur","paris","paris","Senator","61164655",2743,21924,2009,"2015-04-20",2148,21654,TRUE
"Pascal CANFIN","m","EELV","pcanfin","Député européen","","","MEP","135430876",2408,21848,2010,"2015-04-20",1882,21546,TRUE
"Louis ALIOT","m","FN","louis_aliot","Conseiller municipal, Conseiller régional, Député européen, Responsable politique national","perpignan","pyrenees orientales","MEP","316956459",10489,21382,2011,"2015-04-21",1463,21369,TRUE
"Franck RIESTER","m","UMP","franckriester","Député, Maire","","seine et marne","MP","406978622",1395,21014,2011,"2015-04-18",1317,20712,TRUE
"Thierry MARIANI","m","UMP","thierrymariani","Conseiller régional, Député","","vaucluse","MP","87212906",4462,20968,2009,"2015-04-21",2051,20701,TRUE
"Valérie ROSSO-DEBORD","f","UMP","debordvalerie","Maire adjoint, Vice-Président de Communauté d'Agglomération","nancy","meurthe et moselle","Local","367926061",7846,20683,2011,"2015-04-21",1380,20431,TRUE
"Franck LOUVRIER","m","UMP","franck_louvrier","Conseiller municipal, Conseiller régional","la baule escoublac","loire atlantique","Local","112778868",898,20503,2010,"2015-04-21",1952,20361,TRUE
"Geoffroy DIDIER","m","UMP","geoffroydidier","Conseiller régional","","val d oise","Local","463907386",2790,20411,2012,"2015-06-15",1248,20411,TRUE
"Razzy HAMMADI","m","PS","rhammadi","Député","montreuil","seine saint denis","MP","60626246",6815,20120,2009,"2015-04-20",2150,19773,TRUE
"Pierre LARROUTUROU","m","DVG","larrouturou","Conseiller régional","","hauts de seine","Local","18578222",3867,19258,2009,"2015-04-21",2355,18810,TRUE
"Clémentine AUTAIN","f","FDG","clem_autain","Conseiller municipal","","","Local","491343921",1528,19222,2012,"2015-04-20",1219,19185,TRUE
"Jean-Jacques URVOAS","m","PS","jjurvoas","Député","","finistere","MP","345938366",2316,19053,2011,"2015-04-21",1416,18693,TRUE
"Dominique BUSSEREAU","m","UMP","dbussereau","Conseiller régional, Député, Maire adjoint, Président de Conseil Départemental","","charente maritime","MP","57315555",3496,18353,2009,"2015-04-21",2161,18201,TRUE
"Pierre LAURENT","m","FDG","plaurent_pcf","Conseiller régional, Sénateur","paris","paris","Senator","104857771",2277,17770,2010,"2015-04-20",1978,17395,TRUE
"George PAU-LANGEVIN","f","PS","pau_langevin","Ministre","","","Else","81063019",1294,17394,2009,"2015-04-18",2076,17096,TRUE
"Bernard DEBRE","m","UMP","bernard_debre","Conseiller départemental, Conseiller municipal, Député","paris","paris","MP","109222494",3286,17067,2010,"2015-04-20",1965,16852,TRUE
"Sandrine MAZETIER","f","PS","s_mazetier","Député","paris","paris","MP","98405344",5243,16824,2009,"2015-04-21",2003,16663,TRUE
"Bernard ACCOYER","m","UMP","bernardaccoyer","Député, Maire, Vice-Président de Communauté d'Agglomération","annecy","haute savoie","MP","284542499",2211,16786,2011,"2015-04-20",1519,16656,TRUE
"Victorin LUREL","m","PS","victorinlurel","Député, Président de Conseil Régional","","DOM TOM","MP","30010590",1898,16756,2009,"2015-04-21",2258,16287,TRUE
"Yamina BENGUIGUI","f","DVG","yaminabenguigui","Conseiller municipal","paris","paris","Local","321441038",1518,16484,2011,"2015-04-14",1456,16477,TRUE
"Jean-Christophe LAGARDE","m","UDI","jclagarde","Député, Maire, Responsable politique national","drancy","seine saint denis","MP","360680603",2860,16317,2011,"2015-04-14",1392,15509,TRUE
"Alain LAMBERT","m","UMP","alainlambert","Président de Conseil Départemental","","orne","Local","44097396",11382,16090,2009,"2015-04-20",2205,15994,TRUE
"Jean-Yves LE DRIAN","m","PS","jy_ledrian","Ministre","","","Else","1055021191",519,16069,2013,"2015-04-20",895,15556,TRUE
"Roger KAROUTCHI","m","UMP","rkaroutchi","Conseiller régional, Maire adjoint, Sénateur","villeneuve la garenne","hauts de seine","Senator","519339693",1383,16068,2012,"2015-05-25",1194,16068,TRUE
"Frédéric CUVILLIER","m","PS","fcuvillier","Député, Maire","boulogne sur mer","pas de calais","MP","57265525",3579,15970,2009,"2015-04-19",2161,15880,TRUE
"Laure DE LA RAUDIERE","f","UMP","lauredlr","Conseiller régional, Député, Maire","","eure et loir","MP","52764210",9033,15810,2009,"2015-04-21",2175,15441,TRUE
"Jean-Claude GAUDIN","m","UMP","jcgaudin","Maire, Sénateur, Vice-Président de Communauté d'Agglomération","marseille","bouches du rhone","Senator","34566426",1534,15680,2009,"2015-04-15",2245,15422,TRUE
"Marie-Noëlle LIENEMANN","f","PS","mnlienemann","Sénateur","paris","paris","Senator","46522376",4975,15627,2009,"2015-04-21",2195,15365,TRUE
"Christophe GIRARD","m","PS","cgirard","Conseiller régional, Maire","paris","paris","Local","15996880",12047,15562,2008,"2015-04-19",2485,15454,TRUE
"Laurence ROSSIGNOL","f","PS","laurossignol","Secrétaire d'Etat","","","Local","81850356",8160,15253,2009,"2015-04-20",2073,14893,TRUE
"Arnaud DASSIER","m","DVD","arnauddassier","Responsable politique national, Sans mandat électif courant","","","Else","14550908",37837,14966,2008,"2015-05-29",2606,14966,TRUE
"Olivier FAURE","m","PS","faureolivier","Député, Responsable politique national","","seine et marne","MP","213754264",1739,14923,2010,"2015-04-16",1679,14716,TRUE
"Sylvia PINEL","f","PRG","sylviapinel","Conseiller régional, Ministre","","","Else","358886584",2760,14922,2011,"2015-04-21",1395,14477,TRUE
"Vincent FELTESSE","m","PS","vincentfeltesse","Conseiller communautaire, Conseiller municipal","bordeaux","gironde","Local","25489768",7682,14826,2009,"2015-04-19",2279,14715,TRUE
"Jean-Marie LE GUEN","m","PS","jm_leguen","Secrétaire d'Etat","","","Local","369423300",2072,14782,2011,"2015-04-17",1378,14444,TRUE
"David DOUILLET","m","UMP","ddouillet","Député","","yvelines","MP","116025332",371,14703,2010,"2015-04-16",1941,14580,TRUE
"Jean LEONETTI","m","UMP","jeanleonetti","Député, Maire, Président de Communauté d'Agglomération","antibes","alpes maritimes","MP","373380797",1854,14651,2011,"2015-04-20",1371,14501,TRUE
"Hervé MARITON","m","UMP","hervemariton","Député, Maire","","drome","MP","483087012",1994,14573,2012,"2015-04-21",1227,14346,TRUE
"Marie-Arlette CARLOTTI","f","PS","macarlotti","Conseiller communautaire, Conseiller municipal, Député","marseille","bouches du rhone","MP","376295875",2117,14191,2011,"2015-04-20",1365,14114,TRUE
"Barbara POMPILI","f","EELV","barbarapompili","Député","","somme","MP","454336881",2819,14170,2012,"2015-04-21",1259,14027,TRUE
"François DE RUGY","m","EELV","fderugy","Conseiller municipal, Député","nantes","loire atlantique","MP","455806353",17279,14148,2012,"2015-04-21",1258,13690,TRUE
"Alain VIDALIES","m","PS","avidalies","Député, Secrétaire d'Etat","","landes","MP","425643814",1983,14133,2011,"2015-04-21",1293,13765,TRUE
"Pierre-Yves BOURNAZEL","m","UMP","pybournazel","Conseiller municipal, Conseiller régional","paris","paris","Local","90409722",11047,13963,2009,"2015-06-15",2038,13963,TRUE
"Jean-Jack QUEYRANNE","m","PS","jjqueyranne","Président de Conseil Régional","","rhone","Local","32376481",2151,13902,2009,"2015-04-21",2251,13627,TRUE
"Laurianne DENIAUD","f","PS","ldeniaud","Maire adjoint","saint nazaire","loire atlantique","Local","49722817",2233,13620,2009,"2015-04-17",2184,13553,TRUE
"Denis BAUPIN","m","EELV","denis_baupin","Député","paris","paris","MP","17271007",48653,13491,2008,"2015-04-21",2409,13169,TRUE
"Bruno GOLLNISCH","m","FN","brunogollnisch","Député européen","","","MEP","162023981",2726,13196,2010,"2015-04-21",1810,12757,TRUE
"Jean ARTHUIS","m","UDI","jeanarthuis","Député européen","","","MEP","110191018",1474,13183,2010,"2015-04-21",1961,13130,TRUE
"Pascal TERRASSE","m","PS","pterrasse","Député","","ardeche","MP","203828194",3140,13026,2010,"2015-04-20",1703,12950,TRUE
"Valérie BOYER","f","UMP","valerieboyer13","Député, Maire","marseille","bouches du rhone","MP","276934698",18962,12798,2011,"2015-04-21",1534,12201,TRUE
"Yannick JADOT","m","EELV","yjadot","Député européen","","loire","MEP","117761523",8137,12624,2010,"2015-04-21",1936,12325,TRUE
"Jean-Christophe FROMANTIN","m","UDI","jcfromantin","Député, Maire","neuilly","hauts de seine","MP","34222231",3144,12511,2009,"2015-04-21",2246,12277,TRUE
"Jérôme GUEDJ","m","PS","jeromeguedj","Conseiller départemental","","essonne","Local","26725581",5415,12371,2009,"2015-04-21",2273,11829,TRUE
"Hervé NOVELLI","m","UMP","hnovelli","Conseiller régional, Maire, Président de Communauté d'Agglomération","richelieu","indre et loire","Local","63601156",569,12269,2009,"2015-04-18",2139,12233,TRUE
"Ian BROSSAT","m","FDG","ianbrossat","Conseiller municipal, Vice-Président de Conseil Départemental","paris","paris","Local","204368725",8580,12241,2010,"2015-06-15",1702,12240,TRUE
"Arnaud MERCIER","m","UDI","arnaudmercier","Sans mandat électif courant","versailles","yvelines","Else","27454144",9331,12137,2009,"2015-04-21",2269,11583,TRUE
"Claude GOASGUEN","m","UMP","claudegoasguen","Député, Maire","paris","paris","MP","376252824",3667,11967,2011,"2015-04-21",1366,11799,TRUE
"Pouria AMIRSHAHI","f","PS","pouriaamirshahi","Député","","ETRANGER","MP","330377999",5910,11783,2011,"2015-04-21",1441,11489,TRUE
"Jérôme CHARTIER","m","UMP","jechartier","Député, Maire","","val d oise","MP","367186655",2844,11597,2011,"2015-04-21",1382,11478,TRUE
"Guillaume GAROT","m","PS","guillaumegarot","Conseiller municipal, Député","mayenne","mayenne","MP","374055885",2043,11460,2011,"2015-04-20",1369,11206,TRUE
"Emmanuelle COSSE","f","EELV","emmacosse","Responsable politique national, Vice-Président de Conseil Régional","","paris","Else","95533081",14712,11427,2009,"2015-05-27",2015,11426,TRUE
"Karima DELLI","f","EELV","karimadelli","Député européen","","","MEP","92233525",1935,10932,2009,"2015-04-21",2030,10691,TRUE
"François SOULABAILLE","m","EELV","fsoulabaille","Sans mandat électif courant","","","Else","50312356",36109,10913,2009,"2015-04-21",2183,10921,TRUE
"Christian PAUL","m","PS","christianpaul58","Conseiller municipal, Député","","nievre","MP","215292075",3285,10869,2010,"2015-04-21",1676,10437,TRUE
"Jean-Jacques PONS","m","UDI","jeanjacquespons","Conseiller régional","","herault","Local","2821416581",79,10785,2014,"2015-06-05",248,10785,TRUE
"Julien BAYOU","m","EELV","julienbayou","Conseiller régional, Responsable politique national","","val d oise","Else","14830116",9261,10780,2008,"2015-04-21",2584,10474,TRUE
"Yann GALUT","m","PS","yanngalut","Député","","cher","MP","79221731",17841,10749,2009,"2015-04-21",2082,10553,TRUE
"Olivier DUSSOPT","m","PS","olivierdussopt","Député, Maire","","ardeche","MP","278063562",9030,10699,2011,"2015-04-20",1532,10549,TRUE
"Sébastien HUYGHE","m","UMP","sebastienhuyghe","Député","calais","pas de calais","MP","85541760",7436,10579,2009,"2015-04-21",2058,10367,TRUE
"Arnaud ROBINET","m","UMP","arnaudrobinet","Député, Maire","reims","marne","MP","85531043",3274,10466,2009,"2015-04-20",2058,10350,TRUE
"Bruno RETAILLEAU","m","UMP","brunoretailleau","Sénateur","","vendee","Senator","408398312",3711,10287,2011,"2015-04-20",1315,10238,TRUE
"Sandrine BELIER","f","EELV","sandrinebelier","Sans mandat électif courant","","","Else","23339701",10568,10193,2009,"2015-04-21",2290,10104,TRUE
"Michèle RIVASI","f","EELV","michelerivasi","Conseiller municipal, Député européen","","EUROPE","MEP","89431845",9901,10060,2009,"2015-04-21",2042,9840,TRUE
"Sergio CORONADO","m","EELV","sergiocoronado","Député","","ETRANGER","MP","66509519",4960,9990,2009,"2015-04-19",2128,9679,TRUE
"Marie-Anne MONTCHAMP","f","UMP","mamontchamp","Sans mandat électif courant","","","Else","94302775",2717,9704,2009,"2015-04-21",2021,9691,TRUE
"Romain BLACHIER","m","PS","romainblachier","Conseiller communautaire, Maire adjoint","lyon","rhone","Local","14301443",82599,9636,2008,"2015-04-21",2629,9593,TRUE
"Karine BERGER","f","PS","karine_berger","Député","","hautes alpes","MP","402841247",4246,9551,2011,"2015-04-21",1322,9218,TRUE
"François DELAPIERRE","m","FDG","fdelapierre","Conseiller régional, Responsable politique national","","essonne","Else","303183895",813,9496,2011,"2015-02-09",1486,9496,TRUE
"Gérald DARMANIN","m","UMP","gdarmanin","Député, Maire","tourcoing","nord","MP","209825928",4242,9490,2010,"2015-04-21",1690,9055,TRUE
"Emmanuel MAUREL","m","PS","emmanuelmaurel","Conseiller régional, Député européen","","val d oise","MEP","66691158",2485,9402,2009,"2015-06-15",2128,9402,TRUE
"Lionnel LUCA","m","UMP","lionnelluca06","Député","","alpes maritimes","MP","554642415",3079,9392,2012,"2015-05-25",1156,9392,TRUE
"Steeve BRIOIS","m","FN","steevebriois","Député européen, Maire, Responsable politique national","henin beaumont","pas de calais","MEP","498983436",2277,9267,2012,"2015-04-21",1210,8689,TRUE
"Erwann BINET","m","PS","erwannbinet","Député","vienne","isere","MP","244890770",1619,9259,2011,"2015-04-21",1598,9163,TRUE
"Nora BERRA","f","UMP","berranora","Conseiller municipal","lyon","rhone","Local","220070669",1807,9227,2010,"2015-04-17",1662,9215,TRUE
"Pierre LELLOUCHE","m","UMP","lellouchepierre","Conseiller municipal, Député","paris","paris","MP","495145784",331,9104,2012,"2015-04-21",1214,8918,TRUE
"Michel VAUZELLE","m","PS","vauzelle","Député, Président de Conseil Régional","","bouches du rhone","MP","46641505",1309,9093,2009,"2015-04-20",2195,9050,TRUE
"François LAMY","m","PS","lamy_f","Député","","essonne","MP","587296175",1047,9054,2012,"2015-04-20",1120,8893,TRUE
"Thierry SOLERE","m","UMP","solere92","Député","boulogne billancourt","hauts de seine","MP","116229959",6937,8953,2010,"2015-04-21",1940,8438,TRUE
"Esther BENBASSA","f","EELV","estherbenbassa","Sénateur","","marne","Senator","414024815",6873,8945,2011,"2015-05-25",1308,8946,TRUE
"François SAUVADET","m","UDI","sauvadet","Député, Président de Conseil Départemental, Responsable politique national","","cote d or","MP","75406026",2874,8691,2009,"2015-04-21",2096,8562,TRUE
"François-Xavier BELLAMY","m","IND","fxbellamy","Maire adjoint","versailles","yvelines","Local","261860968",2470,8616,2011,"2015-04-21",1562,8302,TRUE
"Éric PIOLLE","m","EELV","ericpiolle","Conseiller régional, Maire","grenoble","isere","Local","1137353412",1141,8604,2013,"2015-06-11",865,8604,TRUE
"David LISNARD","m","UMP","davidlisnard","Conseiller départemental, Maire, Vice-Président de Communauté d'Agglomération","cannes","alpes maritimes","Local","103918784",19820,8397,2010,"2015-04-21",1981,8102,TRUE
"Fabienne KELLER","f","UMP","fabienne_keller","Conseiller communautaire, Conseiller municipal, Sénateur","strasbourg","bas rhin","Senator","83120914",1094,8314,2009,"2015-04-21",2068,7997,TRUE
"Catherine VAUTRIN","f","UMP","cavautrin","Conseiller municipal, Député, Président de Communauté d'Agglomération","reims","marne","MP","296733634",2299,8085,2011,"2015-04-20",1497,7778,TRUE
"Eric COQUEREL","m","FDG","ericcoquerel","Conseiller régional, Responsable politique national","","paris","Else","311601642",6332,8085,2011,"2015-05-29",1471,8085,TRUE
"Patrick MENNUCCI","m","PS","patrickmennucci","Conseiller municipal, Député","","bouches du rhone","MP","15724880",5194,8056,2008,"2015-04-18",2506,7925,TRUE
