"name","gender","party","twitter","mandates","ville","departement","type","id","statuses","followers","created","last_tweeted","age","followers_sample","sample"
"Stéphane CLAIREAUX","m","PRG","sclaireaux","Député","","DOM TOM","MP","545389706",39,153,2012,"2015-04-02",1167,136,FALSE
"Laurent CUZACQ","m","UDI","lcuzacq","Conseiller régional","","","Local","113656844",145,151,2010,"2013-11-07",1950,151,FALSE
"Eliane BARREILLE","f","UMP","bareille_eliane","Conseiller régional","","allier","Local","3046026911",171,150,2015,"2015-06-12",116,150,FALSE
"Brigitte GONTHIER-MAURIN","f","FDG","gonthier_maurin","Sénateur","","hauts de seine","Senator","2281815019",45,148,2014,"2015-05-12",524,148,FALSE
"Sylvain DE SMET","m","EELV","sylvaindesmet","Conseiller régional","","val d oise","Local","431162125",38,146,2011,"2015-04-29",1286,146,FALSE
"Delphine BATAILLE","f","PS","delphbataille","Sénateur","","nord","Senator","1429821697",2,145,2013,"2013-05-15",762,145,FALSE
"Joël SOULARD","m","PS","joelsoulard","Conseiller municipal, Conseiller régional","la roche sur yon","vendee","Local","120022064",42,145,2010,"2015-06-03",1929,145,FALSE
"Franck HUETTE","m","EELV","franck_h66300","Conseiller municipal","","pyrenees orientales","Local","97297232",74,144,2009,"2015-02-26",2007,140,FALSE
"Jérôme RELINGER","m","FDG","relinger","Sans mandat électif courant","","","Else","221724396",91,144,2010,"2015-04-21",1658,138,FALSE
"Dominique JOLY","m","FN","dominiquejoly94","Conseiller municipal","villeneuve saint georges","val de marne","Local","3305176043",39,142,2015,"2015-06-14",15,142,FALSE
"Gilbert BIASOLI","m","FN","gilbertbiasoli","Conseiller municipal","carcassonne","aude","Local","3037257142",238,142,2015,"2015-06-09",121,142,FALSE
"Jérôme BASCHER","m","UMP","allezsenlis","Conseiller départemental","senlis","oise","Local","2228543017",845,141,2013,"2015-04-08",559,142,FALSE
"André REICHARDT","m","UMP","andre_reichardt","Sénateur, Vice-Président de Conseil Régional","","bas rhin","Senator","3146968917",8,141,2015,"2015-05-18",69,142,FALSE
"Frédérique MEUNIER","f","UDI","meuniermalemort","Maire","malemort sur correze","correze","Local","1894149410",40,138,2013,"2015-05-31",632,138,FALSE
"Julien VAILLANT","m","PS","vaillant_julien","Conseiller régional","","meurthe et moselle","Local","586734930",27,137,2012,"2015-03-13",1120,137,FALSE
"Daniel FIDELIN","m","UMP","danielfidelin","Maire, Vice-Président de Communauté d'Agglomération","","","Local","236776520",4,136,2011,"2011-02-01",1617,134,FALSE
"Elvira JOAUEN","f","PS","elvirajaouen","Conseiller régional, Maire","courdimanche","val d oise","Local","1710230504",176,136,2013,"2015-06-11",656,136,FALSE
"Christophe RIVENQ","m","UMP","crivenq","Conseiller régional","","gard","Local","390575558",24,134,2011,"2015-06-13",1341,134,FALSE
"Robert CRAUSTE","m","PS","crausterobert","Conseiller régional, Maire","le grau du roi","gard","Local","1190705394",149,133,2013,"2015-06-07",848,133,FALSE
"Fabienne HALOUI","f","FDG","fabiennehaloui","Conseiller municipal, Conseiller régional","orange","alpes maritimes","Local","947927924",246,133,2012,"2015-05-10",944,133,FALSE
"Ahmed LAOUEDJ","m","PRG","ahmedlaouedj2","Conseiller municipal","aulnay sous bois","seine saint denis","Local","1562559241",33,130,2013,"2014-02-12",714,130,FALSE
"Claudine THOMAS","f","UMP","claudin89286115","Conseiller régional","","seine et marne","Local","1379902482",169,130,2013,"2015-05-19",781,130,FALSE
"François DUMON","m","FDG","fdumon","Vice-Président de Conseil Régional","","cher","Local","108932093",36,129,2010,"2010-03-16",1966,129,FALSE
"Ladislas PONIATOWSKI","m","UMP","l_poniatowski","Sénateur","","eure","Senator","3131026925",20,129,2015,"2015-04-14",76,127,FALSE
"Isabelle GILBERT","f","FN","isagilbert76","Conseiller municipal","elbeuf","seine maritime","Local","2966767666",1340,128,2015,"2015-06-13",159,128,FALSE
"Maurice POLLET","m","PRG","mauricepollet","Maire adjoint","lille","nord","Local","391604819",36,126,2011,"2014-10-07",1339,126,FALSE
"Marie-Agnès LINGUET","f","IND","malinguetfleury","Maire, Vice-Président de Communauté d'Agglomération","orleans","loiret","Local","1933363470",206,125,2013,"2015-04-21",620,114,FALSE
"Marie-Claude AUCOUTURIER","f","FN","mcaucouturier","Conseiller régional","marseille","bouches du rhone","Local","2161570952",86,125,2013,"2014-04-11",595,125,FALSE
"Jean-Yves ROUX","m","PS","rouxjy","Sénateur","","alpes de haute provence","Senator","782712001",170,125,2012,"2015-05-22",1023,125,FALSE
"Denis MALJEAN","m","PS","denis_mloches","Conseiller municipal","loches","indre et loire","Local","1496584238",1107,121,2013,"2015-04-21",736,115,FALSE
"Jacques GILLOT","m","DVG","jacques_gillot","Sénateur","","DOM TOM","Senator","2999842084",38,121,2015,"2015-03-27",141,121,FALSE
"Pierre PANTANELLA","m","PS","p_pantanella","Conseiller régional, Maire","saint rome de cernon","aveyron","Local","444045291",166,121,2011,"2013-10-29",1271,121,FALSE
"Yvon TREGOAT","m","EELV","yvontregoat","Sans mandat électif courant","","","Else","184520923",1071,121,2010,"2015-04-20",1751,118,FALSE
"Bruno GERARA","m","IND","brunogerara","Conseiller municipal","","","Local","494225997",7065,120,2012,"2015-04-20",1215,120,FALSE
"Carole MARIEN","f","UMP","carolemarien","Conseiller régional, Maire adjoint","bethune","pas de calais","Local","446593095",108,120,2011,"2015-04-05",1268,120,FALSE
