"id","side","list","vote"
"01","Left","EXG",0.72
"01","Left","FG",4.4
"01","Right","ALLI",0
"01","Right","PRV",1.74
"01","Right","NCE",0
"01","Right","UMP",37.8
"01","Right","DVD",0.98
"01","Right","FN",17.69
"01","Right","EXD",0
"01","Left","SOC",18.68
"01","Left","RDG",6.8
"01","Left","DVG",5.25
"01","Left","VEC",4.28
"01",NA,"REG",0
"01","Left","ECO",1.05
"01",NA,"AUT",0
"01","Right","CEN",0.63
"10","Left","EXG",1
"10","Left","FG",4.03
"10","Right","ALLI",0
"10","Right","PRV",0
"10","Right","NCE",0
"10","Right","UMP",38.33
"10","Right","DVD",1.46
"10","Right","FN",21.06
"10","Right","EXD",0
"10","Left","SOC",20.04
"10","Left","RDG",8.98
"10","Left","DVG",0.25
"10","Left","VEC",0
"10",NA,"REG",0
"10","Left","ECO",1.69
"10",NA,"AUT",0
"10","Right","CEN",3.15
"11","Left","EXG",2.1
"11","Left","FG",7.34
"11","Right","ALLI",0
"11","Right","PRV",0
"11","Right","NCE",0.78
"11","Right","UMP",21.03
"11","Right","DVD",0.52
"11","Right","FN",18.4
"11","Right","EXD",0.23
"11","Left","SOC",38.07
"11","Left","RDG",0
"11","Left","DVG",7.95
"11","Left","VEC",1.1
"11",NA,"REG",1.06
"11","Left","ECO",0.91
"11",NA,"AUT",0
"11","Right","CEN",0.5
"12","Left","EXG",0.95
"12","Left","FG",5.9
"12","Right","ALLI",0
"12","Right","PRV",1.18
"12","Right","NCE",0
"12","Right","UMP",35.31
"12","Right","DVD",2.54
"12","Right","FN",8.12
"12","Right","EXD",0
"12","Left","SOC",25.79
"12","Left","RDG",4.93
"12","Left","DVG",5.13
"12","Left","VEC",9.44
"12",NA,"REG",0.13
"12","Left","ECO",0.58
"12",NA,"AUT",0
"12","Right","CEN",0
"13","Left","EXG",0.68
"13","Left","FG",9.64
"13","Right","ALLI",0.03
"13","Right","PRV",0
"13","Right","NCE",0.47
"13","Right","UMP",28.09
"13","Right","DVD",2.03
"13","Right","FN",22.07
"13","Right","EXD",0.45
"13","Left","SOC",22.65
"13","Left","RDG",0.08
"13","Left","DVG",3.62
"13","Left","VEC",7.52
"13",NA,"REG",0.02
"13","Left","ECO",1.14
"13",NA,"AUT",0.49
"13","Right","CEN",1.01
"14","Left","EXG",1.2
"14","Left","FG",5.91
"14","Right","ALLI",0
"14","Right","PRV",0.17
"14","Right","NCE",8.3
"14","Right","UMP",25.05
"14","Right","DVD",1.35
"14","Right","FN",11.07
"14","Right","EXD",0
"14","Left","SOC",23.87
"14","Left","RDG",7.93
"14","Left","DVG",3.68
"14","Left","VEC",7
"14",NA,"REG",0
"14","Left","ECO",0.24
"14",NA,"AUT",0
"14","Right","CEN",4.23
"15","Left","EXG",0.39
"15","Left","FG",2.73
"15","Right","ALLI",0
"15","Right","PRV",0
"15","Right","NCE",0
"15","Right","UMP",45.45
"15","Right","DVD",1
"15","Right","FN",5.62
"15","Right","EXD",0
"15","Left","SOC",39.62
"15","Left","RDG",0
"15","Left","DVG",1.07
"15","Left","VEC",2.13
"15",NA,"REG",0
"15","Left","ECO",0.18
"15",NA,"AUT",0
"15","Right","CEN",1.8
"16","Left","EXG",0.7
"16","Left","FG",5.66
"16","Right","ALLI",0
"16","Right","PRV",0.06
"16","Right","NCE",0.17
"16","Right","UMP",23.84
"16","Right","DVD",3.05
"16","Right","FN",11.16
"16","Right","EXD",0
"16","Left","SOC",49.19
"16","Left","RDG",0
"16","Left","DVG",0
"16","Left","VEC",3.11
"16",NA,"REG",0
"16","Left","ECO",0.29
"16",NA,"AUT",0.54
"16","Right","CEN",2.24
"17","Left","EXG",0.57
"17","Left","FG",4.28
"17","Right","ALLI",0
"17","Right","PRV",0.41
"17","Right","NCE",0
"17","Right","UMP",32.88
"17","Right","DVD",1
"17","Right","FN",11.06
"17","Right","EXD",0
"17","Left","SOC",27.33
"17","Left","RDG",7.86
"17","Left","DVG",9.36
"17","Left","VEC",3.08
"17",NA,"REG",0
"17","Left","ECO",0.68
"17",NA,"AUT",0.09
"17","Right","CEN",1.41
"18","Left","EXG",1.26
"18","Left","FG",14.43
"18","Right","ALLI",0
"18","Right","PRV",0.78
"18","Right","NCE",0.75
"18","Right","UMP",28.34
"18","Right","DVD",2.72
"18","Right","FN",14.7
"18","Right","EXD",0
"18","Left","SOC",32.91
"18","Left","RDG",0
"18","Left","DVG",0
"18","Left","VEC",2.57
"18",NA,"REG",0
"18","Left","ECO",0
"18",NA,"AUT",0
"18","Right","CEN",1.54
"19","Left","EXG",0.44
"19","Left","FG",8.74
"19","Right","ALLI",0
"19","Right","PRV",0
"19","Right","NCE",0.48
"19","Right","UMP",29.1
"19","Right","DVD",0.35
"19","Right","FN",8.08
"19","Right","EXD",0
"19","Left","SOC",49.06
"19","Left","RDG",0
"19","Left","DVG",0
"19","Left","VEC",1.76
"19",NA,"REG",0
"19","Left","ECO",0.65
"19",NA,"AUT",0.3
"19","Right","CEN",1.04
"02","Left","EXG",1.02
"02","Left","FG",6.96
"02","Right","ALLI",0
"02","Right","PRV",0.65
"02","Right","NCE",5.17
"02","Right","UMP",25.49
"02","Right","DVD",0.93
"02","Right","FN",18.07
"02","Right","EXD",0.6
"02","Left","SOC",19.09
"02","Left","RDG",8.34
"02","Left","DVG",10.46
"02","Left","VEC",2.46
"02",NA,"REG",0
"02","Left","ECO",0.48
"02",NA,"AUT",0
